,,REPORTE COTIZACIONES,,,,27/11/2016 - 28/11/2019,,
Instrumento,Fecha,,Precio,Var %,Var Anual %,,TIR %,Mod. Duration (años)
ARS,28/11/2019,,"59,77","-0,22",,,,
ARS,27/11/2019,,"59,90","0,13",,,,
ARS,26/11/2019,,"59,82","0,50",,,,
ARS,25/11/2019,,"59,53","0,00",,,,
ARS,22/11/2019,,"59,78","-0,02",,,,
ARS,21/11/2019,,"59,73","-0,10",,,,
ARS,20/11/2019,,"59,54","0,05",,,,
ARS,19/11/2019,,"59,51","0,36",,,,
ARS,18/11/2019,,"59,30","0,00",,,,
ARS,15/11/2019,,"59,49","-0,19",,,,
ARS,14/11/2019,,"59,60","0,11",,,,
ARS,13/11/2019,,"59,54","0,04",,,,
ARS,12/11/2019,,"59,51","0,02",,,,
ARS,11/11/2019,,"59,50","0,01",,,,
ARS,08/11/2019,,"59,50","-0,16",,,,
ARS,07/11/2019,,"59,59","-0,11",,,,
ARS,06/11/2019,,"59,66","0,00",,,,
ARS,05/11/2019,,"59,66","0,03",,,,
ARS,04/11/2019,,"59,64","0,20",,,,
ARS,01/11/2019,,"59,52","-0,07",,,,
ARS,31/10/2019,,"59,56","0,08",,,,
ARS,30/10/2019,,"59,62","0,18",,,,
ARS,29/10/2019,,"59,27","0,03",,,,
ARS,28/10/2019,,"59,25","-1,12",,,,
ARS,25/10/2019,,"59,92","0,96",,,,
ARS,24/10/2019,,"59,35","0,94",,,,
ARS,23/10/2019,,"58,91","0,19",,,,
ARS,22/10/2019,,"58,64","0,57",,,,
ARS,21/10/2019,,"58,40","0,15",,,,
ARS,18/10/2019,,"58,17","-0,11",,,,
ARS,17/10/2019,,"58,14","-0,16",,,,
ARS,16/10/2019,,"56,00","-3,90",,,,
ARS,15/10/2019,,"58,27","0,43",,,,
ARS,11/10/2019,,"58,02","0,39",,,,
ARS,10/10/2019,,"57,92","0,21",,,,
ARS,09/10/2019,,"56,00","-3,19",,,,
ARS,08/10/2019,,"57,84","0,06",,,,
ARS,07/10/2019,,"57,81","0,47",,,,
ARS,04/10/2019,,"57,54","-0,21",,,,
ARS,03/10/2019,,"57,66","-0,28",,,,
ARS,02/10/2019,,"57,82","0,31",,,,
ARS,01/10/2019,,"57,64","0,09",,,,
ARS,30/09/2019,,"57,59","0,47",,,,
ARS,27/09/2019,,"57,32","0,50",,,,
ARS,26/09/2019,,"57,16","0,22",,,,
ARS,25/09/2019,,"56,88","0,04",,,,
ARS,24/09/2019,,"56,86","-0,11",,,,
ARS,23/09/2019,,"56,92","0,46",,,,
ARS,20/09/2019,,"56,66","0,46",,,,
ARS,19/09/2019,,"56,40","0,10",,,,
ARS,18/09/2019,,"56,34","-0,25",,,,
ARS,17/09/2019,,"56,48","0,40",,,,
ARS,16/09/2019,,"56,26","0,60",,,,
ARS,13/09/2019,,"56,07","0,26",,,,
ARS,12/09/2019,,"56,08","-0,16",,,,
ARS,11/09/2019,,"56,17","0,59",,,,
ARS,10/09/2019,,"55,84","-0,28",,,,
ARS,09/09/2019,,"56,01","0,02",,,,
ARS,06/09/2019,,"55,80","-0,36",,,,
ARS,05/09/2019,,"56,00","0,13",,,,
ARS,04/09/2019,,"55,93","-0,01",,,,
ARS,03/09/2019,,"55,93","0,00",,,,
ARS,02/09/2019,,"57,50","-3,35",,,,
ARS,30/08/2019,,"59,50","2,81",,,,
ARS,29/08/2019,,"57,87","-0,12",,,,
ARS,28/08/2019,,"57,94","2,96",,,,
ARS,27/08/2019,,"56,27","1,77",,,,
ARS,26/08/2019,,"55,30","0,01",,,,
ARS,23/08/2019,,"55,15","0,13",,,,
ARS,22/08/2019,,"55,08","0,20",,,,
ARS,21/08/2019,,"54,97","0,48",,,,
ARS,20/08/2019,,"54,71","-0,22",,,,
ARS,19/08/2019,,"54,83","0,00",,,,
ARS,16/08/2019,,"54,83","-3,97",,,,
ARS,15/08/2019,,"57,10","-5,21",,,,
ARS,14/08/2019,,"60,24","8,40",,,,
ARS,13/08/2019,,"55,57","6,56",,,,
ARS,12/08/2019,,"52,15","15,26",,,,
ARS,09/08/2019,,"45,24","-0,01",,,,
ARS,08/08/2019,,"45,17","-0,73",,,,
