,,REPORTE COTIZACIONES,,,,01/12/2016 - 02/12/2019,,
Instrumento,Fecha,,Precio,Var %,Var Anual %,,TIR %,Mod. Duration (años)
MERVAL,02/12/2019,,"33446,93","-3,05","0,05",,,
MERVAL,29/11/2019,,"34500,21","0,82","0,10",,,
MERVAL,28/11/2019,,"34219,79","0,85","0,10",,,
MERVAL,27/11/2019,,"33929,74","5,66","0,10",,,
MERVAL,26/11/2019,,"32113,27","-4,12","0,03",,,
MERVAL,25/11/2019,,"33509,84","-0,24","0,08",,,
MERVAL,22/11/2019,,"33588,83","1,03","0,11",,,
MERVAL,21/11/2019,,"33247,39","-0,52","0,09",,,
MERVAL,20/11/2019,,"33421,12","3,62","0,12",,,
MERVAL,19/11/2019,,"32252,78","1,26","0,09",,,
MERVAL,15/11/2019,,"31851,61","2,68","0,05",,,
MERVAL,14/11/2019,,"31019,69","-4,08","0,06",,,
MERVAL,13/11/2019,,"32340,70","-3,26","0,13",,,
MERVAL,12/11/2019,,"33430,14","-0,69","0,14",,,
MERVAL,11/11/2019,,"33656,80","-1,39","0,14",,,
MERVAL,08/11/2019,,"34131,05","-4,85","0,11",,,
MERVAL,07/11/2019,,"35869,21","1,04","0,14",,,
MERVAL,06/11/2019,,"35500,49","-3,71","0,15",,,
MERVAL,05/11/2019,,"36869,96","-1,10","0,17",,,
MERVAL,04/11/2019,,"37278,54","4,30","0,19",,,
MERVAL,01/11/2019,,"35743,04","2,14","0,14",,,
MERVAL,31/10/2019,,"34995,20","3,26","0,19",,,
MERVAL,30/10/2019,,"33889,03","4,13","0,15",,,
MERVAL,29/10/2019,,"32544,20","-1,91","0,13",,,
MERVAL,28/10/2019,,"33177,16","-3,90","0,15",,,
MERVAL,25/10/2019,,"34432,17","2,86","0,17",,,
MERVAL,24/10/2019,,"33476,16","2,14","0,19",,,
MERVAL,23/10/2019,,"32775,14","-1,47","0,16",,,
MERVAL,22/10/2019,,"33303,35","2,31","0,17",,,
MERVAL,21/10/2019,,"32550,73","1,82","0,14",,,
MERVAL,18/10/2019,,"31968,47","-0,08","0,13",,,
MERVAL,17/10/2019,,"31995,13","4,02","0,11",,,
MERVAL,16/10/2019,,"30759,21","-1,83","0,05",,,
MERVAL,15/10/2019,,"31333,68","-1,46","0,06",,,
MERVAL,11/10/2019,,"31798,11","0,17","0,15",,,
MERVAL,10/10/2019,,"31743,20","4,63","0,11",,,
MERVAL,09/10/2019,,"30338,17","0,27","0,02",,,
MERVAL,08/10/2019,,"30257,26","-2,21","-0,01",,,
MERVAL,07/10/2019,,"30940,87","-2,75","0,01",,,
MERVAL,04/10/2019,,"31816,50","4,78","0,03",,,
MERVAL,03/10/2019,,"30365,90","-1,38","-0,06",,,
MERVAL,02/10/2019,,"30792,05","2,41","-0,06",,,
MERVAL,01/10/2019,,"30066,13","3,44","-0,08",,,
MERVAL,30/09/2019,,"29066,96","0,66","-0,11",,,
MERVAL,27/09/2019,,"28877,51","2,52","-0,14",,,
MERVAL,26/09/2019,,"28168,02","-0,16","-0,17",,,
MERVAL,25/09/2019,,"28212,41","1,41","-0,17",,,
MERVAL,24/09/2019,,"27819,80","-4,38","-0,16",,,
MERVAL,23/09/2019,,"29152,05","-3,02","-0,12",,,
MERVAL,20/09/2019,,"30060,46","-1,16","-0,13",,,
MERVAL,19/09/2019,,"30414,40","1,14","-0,08",,,
MERVAL,18/09/2019,,"30071,10","-0,26","-0,06",,,
MERVAL,17/09/2019,,"30150,65","-1,34","-0,03",,,
MERVAL,16/09/2019,,"30561,27","1,41","-0,02",,,
MERVAL,13/09/2019,,"30136,28","3,51","0,00",,,
MERVAL,12/09/2019,,"29114,77","1,74","-0,02",,,
MERVAL,11/09/2019,,"28617,92","0,65","-0,02",,,
MERVAL,10/09/2019,,"28432,16","4,62","-0,04",,,
MERVAL,09/09/2019,,"27176,41","-1,75","-0,08",,,
MERVAL,06/09/2019,,"27659,66","2,70","-0,08",,,
MERVAL,05/09/2019,,"26932,14","9,19","-0,06",,,
MERVAL,04/09/2019,,"24664,55","6,87","-0,11",,,
MERVAL,03/09/2019,,"23079,32","-11,90","-0,20",,,
MERVAL,02/09/2019,,"26195,41","6,45","-0,09",,,
MERVAL,30/08/2019,,"24608,56","2,60","-0,08",,,
MERVAL,29/08/2019,,"23984,83","-5,79","-0,06",,,
MERVAL,28/08/2019,,"25458,04","3,39","0,02",,,
MERVAL,27/08/2019,,"24622,47","-4,74","-0,03",,,
MERVAL,26/08/2019,,"25848,26","-2,77","0,02",,,
MERVAL,23/08/2019,,"26585,97","-4,99","0,00",,,
MERVAL,22/08/2019,,"27982,96","0,02","0,04",,,
MERVAL,21/08/2019,,"27977,74","2,74","0,08",,,
MERVAL,20/08/2019,,"27230,62","-10,45","0,05",,,
MERVAL,16/08/2019,,"30406,65","-2,04","0,13",,,
MERVAL,15/08/2019,,"31039,31","3,74","0,15",,,
MERVAL,14/08/2019,,"29920,69","-1,40","0,13",,,
MERVAL,13/08/2019,,"30344,56","10,22","0,16",,,
MERVAL,12/08/2019,,"27530,80","-37,93","0,06",,,
MERVAL,09/08/2019,,"44355,09","7,94","0,65",,,
MERVAL,08/08/2019,,"41093,45","0,35","0,54",,,
MERVAL,07/08/2019,,"40949,34","-0,89","0,47",,,
MERVAL,06/08/2019,,"41317,03","1,09","0,43",,,
MERVAL,05/08/2019,,"40873,35","-1,17","0,42",,,
MERVAL,02/08/2019,,"41359,15","-0,13","0,43",,,
MERVAL,01/08/2019,,"41410,98","-1,54","0,41",,,
MERVAL,31/07/2019,,"42057,77","-0,95","0,44",,,
MERVAL,30/07/2019,,"42463,24","-0,75","0,45",,,
MERVAL,29/07/2019,,"42785,46","1,91","0,46",,,
MERVAL,26/07/2019,,"41983,74","5,26","0,44",,,
MERVAL,25/07/2019,,"39884,35","0,25","0,36",,,
MERVAL,24/07/2019,,"39784,91","1,48","0,41",,,
MERVAL,23/07/2019,,"39244,62","1,33","0,42",,,
MERVAL,22/07/2019,,"38729,98","-3,56","0,40",,,
MERVAL,19/07/2019,,"40161,60","-1,45","0,50",,,
MERVAL,18/07/2019,,"40752,75","-1,69","0,51",,,
MERVAL,17/07/2019,,"41451,31","-0,81","0,55",,,
MERVAL,16/07/2019,,"41788,26","1,29","0,59",,,
MERVAL,15/07/2019,,"41256,60","-3,50","0,57",,,
MERVAL,12/07/2019,,"42753,10","-0,24","0,60",,,
MERVAL,11/07/2019,,"42856,29","0,11","0,57",,,
MERVAL,10/07/2019,,"42753,51","2,39","0,55",,,
MERVAL,05/07/2019,,"41755,69","0,91","0,50",,,
MERVAL,04/07/2019,,"41380,38","0,18","0,49",,,
MERVAL,03/07/2019,,"41304,34","-1,17","0,52",,,
MERVAL,02/07/2019,,"41793,13","0,69","0,65",,,
MERVAL,01/07/2019,,"41507,48","-0,69","0,64",,,
MERVAL,28/06/2019,,"41796,36","1,62","0,56",,,
MERVAL,27/06/2019,,"41128,41","3,04","0,59",,,
MERVAL,26/06/2019,,"39916,77","-0,93","0,40",,,
MERVAL,25/06/2019,,"40292,26","0,45","0,40",,,
MERVAL,24/06/2019,,"40111,98","-0,45","0,39",,,
MERVAL,21/06/2019,,"40294,82","1,09","0,31",,,
MERVAL,19/06/2019,,"39861,82","-2,03","0,37",,,
MERVAL,18/06/2019,,"40687,47","0,49","0,47",,,
MERVAL,14/06/2019,,"40487,61","-0,39","0,34",,,
MERVAL,13/06/2019,,"40646,28","-0,69","0,34",,,
MERVAL,12/06/2019,,"40930,69","6,74","0,33",,,
MERVAL,11/06/2019,,"38283,25","5,02","0,21",,,
MERVAL,10/06/2019,,"36452,80","2,21","0,15",,,
MERVAL,07/06/2019,,"35662,87","-0,20","0,18",,,
MERVAL,06/06/2019,,"35733,70","1,30","0,18",,,
MERVAL,05/06/2019,,"35275,94","1,66","0,16",,,
MERVAL,04/06/2019,,"34700,84","2,77","0,20",,,
MERVAL,03/06/2019,,"33765,21","-0,54","0,16",,,
MERVAL,31/05/2019,,"33949,53","-0,85","0,19",,,
MERVAL,30/05/2019,,"34239,26","0,80","0,21",,,
MERVAL,29/05/2019,,"33967,33","-1,95","0,20",,,
MERVAL,28/05/2019,,"34643,54","-2,27","0,21",,,
MERVAL,27/05/2019,,"35448,46","1,04","0,24",,,
MERVAL,24/05/2019,,"35084,92","2,05","0,18",,,
MERVAL,23/05/2019,,"34378,55","-0,58","0,14",,,
MERVAL,22/05/2019,,"34578,77","0,28","0,12",,,
MERVAL,21/05/2019,,"34481,33","2,95","0,09",,,
MERVAL,20/05/2019,,"33492,48","0,53","0,06",,,
MERVAL,17/05/2019,,"33315,70","-1,70","0,05",,,
MERVAL,16/05/2019,,"33892,17","2,03","0,07",,,
MERVAL,15/05/2019,,"33218,06","2,18","0,08",,,
MERVAL,14/05/2019,,"32510,83","0,65","0,07",,,
MERVAL,13/05/2019,,"32379,86","-3,04","0,06",,,
MERVAL,10/05/2019,,"33393,81","-2,13","0,13",,,
MERVAL,09/05/2019,,"34119,10","1,02","0,22",,,
MERVAL,08/05/2019,,"33775,97","3,16","0,29",,,
MERVAL,07/05/2019,,"32741,13","-0,75","0,19",,,
MERVAL,06/05/2019,,"33001,08","1,82","0,20",,,
MERVAL,03/05/2019,,"32412,27","5,18","0,10",,,
MERVAL,02/05/2019,,"30817,01","4,21","0,04",,,
